Variable,Value,AXIAL [m]
q_H2_FP,0.6952165,0.09
q_H2_FP,0.69536304,0.095
q_H2_FP,0.69548965,0.1
q_H2_FP,0.6955954,0.105
q_H2_FP,0.6956858,0.11
q_H2_FP,0.69576,0.115
q_H2_FP,0.6958221,0.12
q_H2_FP,0.6958707,0.125
q_H2_FP,0.69590884,0.13
q_H2_FP,0.69593537,0.135
q_H2_FP,0.6959528,0.14
q_H2_FP,0.6959599,0.145
q_H2_FP,0.6959588,0.15
q_H2_FP,0.69594836,0.155
q_H2_FP,0.6959303,0.16
q_H2_FP,0.6959037,0.165
q_H2_FP,0.69586986,0.17
q_H2_FP,0.695828,0.175
q_H2_FP,0.6957792,0.18
q_H2_FP,0.6957227,0.185
q_H2_FP,0.69565934,0.19
q_H2_FP,0.6955886,0.195
q_H2_FP,0.69551104,0.2
q_H2_FP,0.6954263,0.205
q_H2_FP,0.6953345,0.21
q_H2_FP,0.6952356,0.215
q_H2_FP,0.69512963,0.22
q_H2_FP,0.69501644,0.225
q_H2_FP,0.6948959,0.23
q_H2_FP,0.69476813,0.235
q_H2_FP,0.69463265,0.24
q_H2_FP,0.69448966,0.245
q_H2_FP,0.6943386,0.25
q_H2_FP,0.6941797,0.255
q_H2_FP,0.69401234,0.26
q_H2_FP,0.6938366,0.265
q_H2_FP,0.69365185,0.27
q_H2_FP,0.6934582,0.275
q_H2_FP,0.6932548,0.28
q_H2_FP,0.6930419,0.285
q_H2_FP,0.6928184,0.29
q_H2_FP,0.6925845,0.295
q_H2_FP,0.69233906,0.3
q_H2_FP,0.6920823,0.305
q_H2_FP,0.69181275,0.31
q_H2_FP,0.69153064,0.315
q_H2_FP,0.6912344,0.32
q_H2_FP,0.69092417,0.325
q_H2_FP,0.69059813,0.33
q_H2_FP,0.69025624,0.335
q_H2_FP,0.6898965,0.34
q_H2_FP,0.68951887,0.345
q_H2_FP,0.689121,0.35
q_H2_FP,0.68870234,0.355
q_H2_FP,0.6882604,0.36
q_H2_FP,0.6877944,0.365
q_H2_FP,0.6873014,0.37
q_H2_FP,0.6867801,0.375
q_H2_FP,0.6862268,0.38
q_H2_FP,0.68563956,0.385
q_H2_FP,0.6850141,0.39
q_H2_FP,0.68434745,0.395
q_H2_FP,0.68363404,0.4
q_H2_FP,0.6828688,0.405
q_H2_FP,0.68204427,0.41
q_H2_FP,0.68115216,0.415
q_H2_FP,0.68018085,0.42
q_H2_FP,0.67911434,0.425
q_H2_FP,0.67792845,0.43
q_H2_FP,0.67658377,0.435
q_H2_FP,0.6750168,0.44
q_H2_FP,0.6731326,0.445
q_H2_FP,0.6708086,0.45
q_H2_FP,0.6679513,0.455
q_H2_FP,0.6645597,0.46
q_H2_FP,0.66077304,0.465
q_H2_FP,0.65670645,0.47
q_H2_FP,0.65186477,0.475
q_H2_FP,0.6448952,0.48
q_H2_FP,0.6332904,0.485
q_H2_FP,0.6151273,0.49
q_H2_FP,0.59044474,0.495
q_H2_FP,0.57362294,0.5
q_H2_VU,-6.18E-10,0
q_H2_VU,-4.90E-10,0.005
q_H2_VU,-1.05E-10,0.01
q_H2_VU,-1.83E-11,0.015
q_H2_VU,3.69E-11,0.02
q_H2_VU,-8.83E-11,0.025
q_H2_VU,4.52E-11,0.03
q_H2_VU,-9.02E-11,0.035
q_H2_VU,1.88E-12,0.04
q_H2_VU,-4.76E-11,0.045
q_H2_VU,-7.10E-11,0.05
q_H2_VU,2.72E-11,0.055
q_H2_VU,-1.72E-10,0.06
q_H2_VU,1.19E-10,0.065
q_H2_VU,-2.43E-10,0.07
q_H2_VU,1.50E-10,0.075
q_H2_VU,-2.23E-10,0.08
q_H2_VU,1.01E-10,0.085
q_H2_VU,-1.43E-10,0.09
q_H2_VU,2.58E-11,0.095
q_H2_VU,-6.06E-11,0.1
q_H2_VU,-3.81E-11,0.105
q_H2_VU,4.93E-12,0.11
q_H2_VU,-8.87E-11,0.115
q_H2_VU,5.16E-11,0.12
q_H2_VU,-1.19E-10,0.125
q_H2_VU,6.86E-11,0.13
q_H2_VU,-1.20E-10,0.135
q_H2_VU,5.39E-11,0.14
q_H2_VU,-9.51E-11,0.145
q_H2_VU,2.35E-11,0.15
q_H2_VU,-6.37E-11,0.155
q_H2_VU,-3.75E-12,0.16
q_H2_VU,-3.91E-11,0.165
q_H2_VU,-1.87E-11,0.17
q_H2_VU,-2.49E-11,0.175
q_H2_VU,-2.22E-11,0.18
q_H2_VU,-1.83E-11,0.185
q_H2_VU,-1.91E-11,0.19
q_H2_VU,-1.51E-11,0.195
q_H2_VU,-1.47E-11,0.2
q_H2_VU,-1.18E-11,0.205
q_H2_VU,-1.13E-11,0.21
q_H2_VU,-7.92E-12,0.215
q_H2_VU,-8.51E-12,0.22
q_H2_VU,-4.62E-12,0.225
q_H2_VU,-5.44E-12,0.23
q_H2_VU,-2.46E-12,0.235
q_H2_VU,-2.24E-12,0.24
q_H2_VU,-9.38E-13,0.245
q_H2_VU,1.47E-13,0.25
q_H2_VU,5.21E-13,0.255
q_H2_VU,1.41E-12,0.26
q_H2_VU,1.79E-12,0.265
q_H2_VU,2.00E-12,0.27
q_H2_VU,2.47E-12,0.275
q_H2_VU,2.35E-12,0.28
q_H2_VU,2.54E-12,0.285
q_H2_VU,2.47E-12,0.29
q_H2_VU,2.31E-12,0.295
q_H2_VU,2.24E-12,0.3
q_H2_VU,1.97E-12,0.305
q_H2_VU,1.79E-12,0.31
q_H2_VU,1.57E-12,0.315
q_H2_VU,1.30E-12,0.32
q_H2_VU,1.13E-12,0.325
q_H2_VU,8.64E-13,0.33
q_H2_VU,7.33E-13,0.335
q_H2_VU,5.23E-13,0.34
q_H2_VU,4.20E-13,0.345
q_H2_VU,2.92E-13,0.35
q_H2_VU,2.00E-13,0.355
q_H2_VU,1.54E-13,0.36
q_H2_VU,8.00E-14,0.365
q_H2_VU,7.19E-14,0.37
q_H2_VU,3.80E-14,0.375
q_H2_VU,3.11E-14,0.38
q_H2_VU,2.89E-14,0.385
q_H2_VU,2.42E-14,0.39
q_H2_VU,2.45E-14,0.395
q_H2_VU,2.95E-14,0.4
q_H2_VU,2.36E-14,0.405
q_H2_VU,2.71E-14,0.41
q_H2_VU,2.72E-14,0.415
q_H2_VU,2.05E-14,0.42
q_H2_VU,2.51E-14,0.425
q_H2_VU,2.06E-14,0.43
q_H2_VU,1.71E-14,0.435
q_H2_VU,1.96E-14,0.44
q_H2_VU,1.55E-14,0.445
q_H2_VU,1.35E-14,0.45
q_H2_VU,1.50E-14,0.455
q_H2_VU,1.35E-14,0.46
q_H2_VU,1.16E-14,0.465
q_H2_VU,1.10E-14,0.47
q_H2_VU,1.08E-14,0.475
q_H2_VU,1.04E-14,0.48
q_H2_VU,9.95E-15,0.485
q_H2_VU,9.69E-15,0.49
q_H2_VU,9.56E-15,0.495
q_H2_VU,9.47E-15,0.5
Tem_AD,298,0
Tem_AD,298.0696,0.005
Tem_AD,298.12744,0.01
Tem_AD,298.2131,0.015
Tem_AD,298.2863,0.02
Tem_AD,298.3888,0.025
Tem_AD,298.47693,0.03
Tem_AD,298.59543,0.035
Tem_AD,298.69812,0.04
Tem_AD,298.83252,0.045
Tem_AD,298.94952,0.05
Tem_AD,299.09946,0.055
Tem_AD,299.23056,0.06
Tem_AD,299.39578,0.065
Tem_AD,299.5407,0.07
Tem_AD,299.72092,0.075
Tem_AD,299.87927,0.08
Tem_AD,300.074,0.085
Tem_AD,300.24548,0.09
Tem_AD,300.45438,0.095
Tem_AD,300.6384,0.1
Tem_AD,300.8608,0.105
Tem_AD,301.05704,0.11
Tem_AD,301.29248,0.115
Tem_AD,301.5002,0.12
Tem_AD,301.74808,0.125
Tem_AD,301.9669,0.13
Tem_AD,302.2264,0.135
Tem_AD,302.45563,0.14
Tem_AD,302.72626,0.145
Tem_AD,302.96524,0.15
Tem_AD,303.24603,0.155
Tem_AD,303.49423,0.16
Tem_AD,303.7846,0.165
Tem_AD,304.04114,0.17
Tem_AD,304.34012,0.175
Tem_AD,304.60458,0.18
Tem_AD,304.9114,0.185
Tem_AD,305.1827,0.19
Tem_AD,305.49652,0.195
Tem_AD,305.77432,0.2
Tem_AD,306.0941,0.205
Tem_AD,306.37726,0.21
Tem_AD,306.70224,0.215
Tem_AD,306.9904,0.22
Tem_AD,307.31937,0.225
Tem_AD,307.61136,0.23
Tem_AD,307.94376,0.235
Tem_AD,308.23917,0.24
Tem_AD,308.57352,0.245
Tem_AD,308.87122,0.25
Tem_AD,309.2071,0.255
Tem_AD,309.50668,0.26
Tem_AD,309.84244,0.265
Tem_AD,310.14273,0.27
Tem_AD,310.4781,0.275
Tem_AD,310.77878,0.28
Tem_AD,311.11197,0.285
Tem_AD,311.41168,0.29
Tem_AD,311.74243,0.295
Tem_AD,312.04123,0.3
Tem_AD,312.36777,0.305
Tem_AD,312.66388,0.31
Tem_AD,312.98575,0.315
Tem_AD,313.27982,0.32
Tem_AD,313.59555,0.325
Tem_AD,313.8854,0.33
Tem_AD,314.19354,0.335
Tem_AD,314.4804,0.34
Tem_AD,314.78058,0.345
Tem_AD,315.0626,0.35
Tem_AD,315.35135,0.355
Tem_AD,315.62927,0.36
Tem_AD,315.90726,0.365
Tem_AD,316.1818,0.37
Tem_AD,316.44443,0.375
Tem_AD,316.71368,0.38
Tem_AD,316.9597,0.385
Tem_AD,317.22775,0.39
Tem_AD,317.45615,0.395
Tem_AD,317.72076,0.4
Tem_AD,317.9248,0.405
Tem_AD,318.18552,0.41
Tem_AD,318.36707,0.415
Tem_AD,318.6289,0.42
Tem_AD,318.78687,0.425
Tem_AD,319.04395,0.43
Tem_AD,319.17023,0.435
Tem_AD,319.4176,0.44
Tem_AD,319.51614,0.445
Tem_AD,319.7594,0.45
Tem_AD,319.83948,0.455
Tem_AD,320.07526,0.46
Tem_AD,320.13266,0.465
Tem_AD,320.34042,0.47
Tem_AD,320.36353,0.475
Tem_AD,320.5187,0.48
Tem_AD,320.50192,0.485
Tem_AD,320.58282,0.49
Tem_AD,320.5272,0.495
Tem_AD,320.50864,0.5
Tem_BD,281.08078,0
Tem_BD,281.0993,0.005
Tem_BD,281.15482,0.01
Tem_BD,281.20764,0.015
Tem_BD,281.27042,0.02
Tem_BD,281.33316,0.025
Tem_BD,281.40234,0.03
Tem_BD,281.4726,0.035
Tem_BD,281.5475,0.04
Tem_BD,281.62503,0.045
Tem_BD,281.70505,0.05
Tem_BD,281.78885,0.055
Tem_BD,281.87473,0.06
Tem_BD,281.96442,0.065
Tem_BD,282.05557,0.07
Tem_BD,282.15054,0.075
Tem_BD,282.2468,0.08
Tem_BD,282.34677,0.085
Tem_BD,282.44797,0.09
Tem_BD,282.55298,0.095
Tem_BD,282.65894,0.1
Tem_BD,282.7686,0.105
Tem_BD,282.87906,0.11
Tem_BD,282.99316,0.115
Tem_BD,283.10803,0.12
Tem_BD,283.2265,0.125
Tem_BD,283.34555,0.13
Tem_BD,283.4682,0.135
Tem_BD,283.5913,0.14
Tem_BD,283.71796,0.145
Tem_BD,283.84497,0.15
Tem_BD,283.97546,0.155
Tem_BD,284.10617,0.16
Tem_BD,284.24036,0.165
Tem_BD,284.3746,0.17
Tem_BD,284.5123,0.175
Tem_BD,284.64993,0.18
Tem_BD,284.79092,0.185
Tem_BD,284.93173,0.19
Tem_BD,285.07584,0.195
Tem_BD,285.21964,0.2
Tem_BD,285.36667,0.205
Tem_BD,285.5132,0.21
Tem_BD,285.6629,0.215
Tem_BD,285.812,0.22
Tem_BD,285.96417,0.225
Tem_BD,286.11557,0.23
Tem_BD,286.26996,0.235
Tem_BD,286.42346,0.24
Tem_BD,286.5798,0.245
Tem_BD,286.7351,0.25
Tem_BD,286.8932,0.255
Tem_BD,287.05008,0.26
Tem_BD,287.20963,0.265
Tem_BD,287.36786,0.27
Tem_BD,287.52863,0.275
Tem_BD,287.68793,0.28
Tem_BD,287.84967,0.285
Tem_BD,288.0098,0.29
Tem_BD,288.17227,0.295
Tem_BD,288.33298,0.3
Tem_BD,288.49594,0.305
Tem_BD,288.65704,0.31
Tem_BD,288.82025,0.315
Tem_BD,288.98148,0.32
Tem_BD,289.14478,0.325
Tem_BD,289.30594,0.33
Tem_BD,289.46906,0.335
Tem_BD,289.62997,0.34
Tem_BD,289.7928,0.345
Tem_BD,289.95328,0.35
Tem_BD,290.1156,0.355
Tem_BD,290.2755,0.36
Tem_BD,290.4372,0.365
Tem_BD,290.59644,0.37
Tem_BD,290.7574,0.375
Tem_BD,290.91577,0.38
Tem_BD,291.07587,0.385
Tem_BD,291.23337,0.39
Tem_BD,291.39252,0.395
Tem_BD,291.5491,0.4
Tem_BD,291.70724,0.405
Tem_BD,291.86276,0.41
Tem_BD,292.0198,0.415
Tem_BD,292.17422,0.42
Tem_BD,292.33008,0.425
Tem_BD,292.48322,0.43
Tem_BD,292.63763,0.435
Tem_BD,292.78912,0.44
Tem_BD,292.94156,0.445
Tem_BD,293.0906,0.45
Tem_BD,293.23996,0.455
Tem_BD,293.38498,0.46
Tem_BD,293.52905,0.465
Tem_BD,293.66708,0.47
Tem_BD,293.8014,0.475
Tem_BD,293.92548,0.48
Tem_BD,294.03897,0.485
Tem_BD,294.13214,0.49
Tem_BD,294.19803,0.495
Tem_BD,294.21997,0.5
Tem_CD,296.16736,0
Tem_CD,296.17834,0.005
Tem_CD,296.2114,0.01
Tem_CD,296.25656,0.015
Tem_CD,296.3065,0.02
Tem_CD,296.35858,0.025
Tem_CD,296.41092,0.03
Tem_CD,296.4639,0.035
Tem_CD,296.51663,0.04
Tem_CD,296.56992,0.045
Tem_CD,296.62286,0.05
Tem_CD,296.6763,0.055
Tem_CD,296.72928,0.06
Tem_CD,296.78268,0.065
Tem_CD,296.83554,0.07
Tem_CD,296.88867,0.075
Tem_CD,296.94113,0.08
Tem_CD,296.9938,0.085
Tem_CD,297.0457,0.09
Tem_CD,297.0977,0.095
Tem_CD,297.1488,0.1
Tem_CD,297.19992,0.105
Tem_CD,297.25003,0.11
Tem_CD,297.30008,0.115
Tem_CD,297.349,0.12
Tem_CD,297.39777,0.125
Tem_CD,297.44534,0.13
Tem_CD,297.4926,0.135
Tem_CD,297.53864,0.14
Tem_CD,297.5843,0.145
Tem_CD,297.6286,0.15
Tem_CD,297.67245,0.155
Tem_CD,297.7149,0.16
Tem_CD,297.75684,0.165
Tem_CD,297.7973,0.17
Tem_CD,297.8372,0.175
Tem_CD,297.87555,0.18
Tem_CD,297.91327,0.185
Tem_CD,297.94946,0.19
Tem_CD,297.98495,0.195
Tem_CD,298.01892,0.2
Tem_CD,298.0522,0.205
Tem_CD,298.08386,0.21
Tem_CD,298.11484,0.215
Tem_CD,298.1443,0.22
Tem_CD,298.173,0.225
Tem_CD,298.20023,0.23
Tem_CD,298.22668,0.235
Tem_CD,298.25174,0.24
Tem_CD,298.27606,0.245
Tem_CD,298.29898,0.25
Tem_CD,298.32123,0.255
Tem_CD,298.34213,0.26
Tem_CD,298.3624,0.265
Tem_CD,298.3814,0.27
Tem_CD,298.39978,0.275
Tem_CD,298.41702,0.28
Tem_CD,298.43362,0.285
Tem_CD,298.44922,0.29
Tem_CD,298.4642,0.295
Tem_CD,298.47827,0.3
Tem_CD,298.49176,0.305
Tem_CD,298.50443,0.31
Tem_CD,298.5166,0.315
Tem_CD,298.528,0.32
Tem_CD,298.53894,0.325
Tem_CD,298.54922,0.33
Tem_CD,298.55908,0.335
Tem_CD,298.56836,0.34
Tem_CD,298.57724,0.345
Tem_CD,298.5857,0.35
Tem_CD,298.59372,0.355
Tem_CD,298.6014,0.36
Tem_CD,298.60873,0.365
Tem_CD,298.61584,0.37
Tem_CD,298.62253,0.375
Tem_CD,298.6292,0.38
Tem_CD,298.63547,0.385
Tem_CD,298.64185,0.39
Tem_CD,298.6479,0.395
Tem_CD,298.65424,0.4
Tem_CD,298.6603,0.405
Tem_CD,298.667,0.41
Tem_CD,298.6735,0.415
Tem_CD,298.68106,0.42
Tem_CD,298.68872,0.425
Tem_CD,298.698,0.43
Tem_CD,298.70786,0.435
Tem_CD,298.72018,0.44
Tem_CD,298.73386,0.445
Tem_CD,298.75122,0.45
Tem_CD,298.77112,0.455
Tem_CD,298.79636,0.46
Tem_CD,298.82565,0.465
Tem_CD,298.8621,0.47
Tem_CD,298.904,0.475
Tem_CD,298.95386,0.48
Tem_CD,299.0081,0.485
Tem_CD,299.06473,0.49
Tem_CD,299.11133,0.495
Tem_CD,299.12686,0.5
Tem_FP,303.85675,0
Tem_FP,303.7139,0.005
Tem_FP,303.28537,0.01
Tem_FP,302.74185,0.015
Tem_FP,302.25543,0.02
Tem_FP,301.9065,0.025
Tem_FP,301.68552,0.03
Tem_FP,301.5461,0.035
Tem_FP,301.45654,0.04
Tem_FP,301.39587,0.045
Tem_FP,301.35544,0.05
Tem_FP,301.3257,0.055
Tem_FP,301.30435,0.06
Tem_FP,301.28738,0.065
Tem_FP,301.27524,0.07
Tem_FP,301.26523,0.075
Tem_FP,301.25818,0.08
Tem_FP,301.25247,0.085
Tem_FP,301.24872,0.09
Tem_FP,301.2456,0.095
Tem_FP,301.2441,0.1
Tem_FP,301.2432,0.105
Tem_FP,301.24362,0.11
Tem_FP,301.2445,0.115
Tem_FP,301.24646,0.12
Tem_FP,301.24878,0.125
Tem_FP,301.25204,0.13
Tem_FP,301.2556,0.135
Tem_FP,301.26007,0.14
Tem_FP,301.26477,0.145
Tem_FP,301.2703,0.15
Tem_FP,301.27603,0.155
Tem_FP,301.28253,0.16
Tem_FP,301.2892,0.165
Tem_FP,301.29666,0.17
Tem_FP,301.30423,0.175
Tem_FP,301.31253,0.18
Tem_FP,301.32098,0.185
Tem_FP,301.33014,0.19
Tem_FP,301.33942,0.195
Tem_FP,301.3494,0.2
Tem_FP,301.35953,0.205
Tem_FP,301.3703,0.21
Tem_FP,301.38126,0.215
Tem_FP,301.39285,0.22
Tem_FP,301.4046,0.225
Tem_FP,301.41705,0.23
Tem_FP,301.42966,0.235
Tem_FP,301.44293,0.24
Tem_FP,301.4564,0.245
Tem_FP,301.47058,0.25
Tem_FP,301.48492,0.255
Tem_FP,301.5,0.26
Tem_FP,301.51532,0.265
Tem_FP,301.53137,0.27
Tem_FP,301.54767,0.275
Tem_FP,301.56476,0.28
Tem_FP,301.58212,0.285
Tem_FP,301.6003,0.29
Tem_FP,301.61884,0.295
Tem_FP,301.63824,0.3
Tem_FP,301.65802,0.305
Tem_FP,301.67877,0.31
Tem_FP,301.69995,0.315
Tem_FP,301.72217,0.32
Tem_FP,301.74487,0.325
Tem_FP,301.76874,0.33
Tem_FP,301.79318,0.335
Tem_FP,301.8189,0.34
Tem_FP,301.8453,0.345
Tem_FP,301.87317,0.35
Tem_FP,301.90182,0.355
Tem_FP,301.93213,0.36
Tem_FP,301.96338,0.365
Tem_FP,301.9965,0.37
Tem_FP,302.0308,0.375
Tem_FP,302.0673,0.38
Tem_FP,302.10522,0.385
Tem_FP,302.1457,0.39
Tem_FP,302.18796,0.395
Tem_FP,302.23328,0.4
Tem_FP,302.2809,0.405
Tem_FP,302.33228,0.41
Tem_FP,302.38672,0.415
Tem_FP,302.446,0.42
Tem_FP,302.50977,0.425
Tem_FP,302.58096,0.43
Tem_FP,302.66095,0.435
Tem_FP,302.75677,0.44
Tem_FP,302.87448,0.445
Tem_FP,303.02625,0.45
Tem_FP,303.21164,0.455
Tem_FP,303.41827,0.46
Tem_FP,303.5948,0.465
Tem_FP,303.68066,0.47
Tem_FP,303.6484,0.475
Tem_FP,303.54935,0.48
Tem_FP,303.49905,0.485
Tem_FP,303.4753,0.49
Tem_FP,302.8935,0.495
Tem_FP,298,0.5
Tem_VU,295.88617,0
Tem_VU,295.88736,0.005
Tem_VU,295.89093,0.01
Tem_VU,295.89572,0.015
Tem_VU,295.90125,0.02
Tem_VU,295.90726,0.025
Tem_VU,295.9135,0.03
Tem_VU,295.92014,0.035
Tem_VU,295.92694,0.04
Tem_VU,295.934,0.045
Tem_VU,295.94135,0.05
Tem_VU,295.94894,0.055
Tem_VU,295.9567,0.06
Tem_VU,295.9646,0.065
Tem_VU,295.97275,0.07
Tem_VU,295.9811,0.075
Tem_VU,295.98965,0.08
Tem_VU,295.99844,0.085
Tem_VU,296.0074,0.09
Tem_VU,296.01648,0.095
Tem_VU,296.02573,0.1
Tem_VU,296.0352,0.105
Tem_VU,296.0448,0.11
Tem_VU,296.05457,0.115
Tem_VU,296.06448,0.12
Tem_VU,296.0746,0.125
Tem_VU,296.0848,0.13
Tem_VU,296.09518,0.135
Tem_VU,296.1057,0.14
Tem_VU,296.11636,0.145
Tem_VU,296.12717,0.15
Tem_VU,296.1381,0.155
Tem_VU,296.14914,0.16
Tem_VU,296.16034,0.165
Tem_VU,296.17163,0.17
Tem_VU,296.18304,0.175
Tem_VU,296.19455,0.18
Tem_VU,296.20618,0.185
Tem_VU,296.21793,0.19
Tem_VU,296.22974,0.195
Tem_VU,296.24167,0.2
Tem_VU,296.2537,0.205
Tem_VU,296.26578,0.21
Tem_VU,296.27795,0.215
Tem_VU,296.29022,0.22
Tem_VU,296.30252,0.225
Tem_VU,296.3149,0.23
Tem_VU,296.32736,0.235
Tem_VU,296.33987,0.24
Tem_VU,296.35245,0.245
Tem_VU,296.36505,0.25
Tem_VU,296.37772,0.255
Tem_VU,296.3904,0.26
Tem_VU,296.40314,0.265
Tem_VU,296.4159,0.27
Tem_VU,296.42868,0.275
Tem_VU,296.44147,0.28
Tem_VU,296.4543,0.285
Tem_VU,296.46713,0.29
Tem_VU,296.47998,0.295
Tem_VU,296.49286,0.3
Tem_VU,296.5057,0.305
Tem_VU,296.51855,0.31
Tem_VU,296.53143,0.315
Tem_VU,296.54428,0.32
Tem_VU,296.5571,0.325
Tem_VU,296.56995,0.33
Tem_VU,296.58276,0.335
Tem_VU,296.59555,0.34
Tem_VU,296.60834,0.345
Tem_VU,296.6211,0.35
Tem_VU,296.63382,0.355
Tem_VU,296.6465,0.36
Tem_VU,296.6592,0.365
Tem_VU,296.67184,0.37
Tem_VU,296.68445,0.375
Tem_VU,296.69702,0.38
Tem_VU,296.70956,0.385
Tem_VU,296.72208,0.39
Tem_VU,296.73453,0.395
Tem_VU,296.74695,0.4
Tem_VU,296.7593,0.405
Tem_VU,296.7716,0.41
Tem_VU,296.78387,0.415
Tem_VU,296.79602,0.42
Tem_VU,296.8081,0.425
Tem_VU,296.8201,0.43
Tem_VU,296.83197,0.435
Tem_VU,296.84366,0.44
Tem_VU,296.85522,0.445
Tem_VU,296.86655,0.45
Tem_VU,296.87762,0.455
Tem_VU,296.88834,0.46
Tem_VU,296.89862,0.465
Tem_VU,296.90833,0.47
Tem_VU,296.91727,0.475
Tem_VU,296.92526,0.48
Tem_VU,296.9321,0.485
Tem_VU,296.9374,0.49
Tem_VU,296.9408,0.495
Tem_VU,296.9419,0.5
y_CO2_AD,0.3,0
y_CO2_AD,0.2997109,0.005
y_CO2_AD,0.29938632,0.01
y_CO2_AD,0.299026,0.015
y_CO2_AD,0.29862735,0.02
y_CO2_AD,0.2981936,0.025
y_CO2_AD,0.29772273,0.03
y_CO2_AD,0.2972178,0.035
y_CO2_AD,0.29667577,0.04
y_CO2_AD,0.29610014,0.045
y_CO2_AD,0.29548717,0.05
y_CO2_AD,0.29484105,0.055
y_CO2_AD,0.29415736,0.06
y_CO2_AD,0.2934411,0.065
y_CO2_AD,0.292687,0.07
y_CO2_AD,0.29190105,0.075
y_CO2_AD,0.29107717,0.08
y_CO2_AD,0.29022226,0.085
y_CO2_AD,0.2893293,0.09
y_CO2_AD,0.28840625,0.095
y_CO2_AD,0.28744516,0.1
y_CO2_AD,0.28645504,0.105
y_CO2_AD,0.28542686,0.11
y_CO2_AD,0.28437084,0.115
y_CO2_AD,0.28327674,0.12
y_CO2_AD,0.2821561,0.125
y_CO2_AD,0.2809975,0.13
y_CO2_AD,0.2798137,0.135
y_CO2_AD,0.2785919,0.14
y_CO2_AD,0.27734643,0.145
y_CO2_AD,0.27606314,0.15
y_CO2_AD,0.27475765,0.155
y_CO2_AD,0.2734144,0.16
y_CO2_AD,0.2720506,0.165
y_CO2_AD,0.27064914,0.17
y_CO2_AD,0.26922885,0.175
y_CO2_AD,0.2677711,0.18
y_CO2_AD,0.26629612,0.185
y_CO2_AD,0.26478377,0.19
y_CO2_AD,0.2632561,0.195
y_CO2_AD,0.26169136,0.2
y_CO2_AD,0.26011297,0.205
y_CO2_AD,0.25849754,0.21
y_CO2_AD,0.2568703,0.215
y_CO2_AD,0.25520635,0.22
y_CO2_AD,0.25353256,0.225
y_CO2_AD,0.25182202,0.23
y_CO2_AD,0.2501033,0.235
y_CO2_AD,0.24834812,0.24
y_CO2_AD,0.24658678,0.245
y_CO2_AD,0.2447892,0.25
y_CO2_AD,0.24298696,0.255
y_CO2_AD,0.2411484,0.26
y_CO2_AD,0.2393072,0.265
y_CO2_AD,0.2374302,0.27
y_CO2_AD,0.23555204,0.275
y_CO2_AD,0.23363765,0.28
y_CO2_AD,0.23172383,0.285
y_CO2_AD,0.22977465,0.29
y_CO2_AD,0.22782755,0.295
y_CO2_AD,0.22584417,0.3
y_CO2_AD,0.22386429,0.305
y_CO2_AD,0.22184962,0.31
y_CO2_AD,0.2198399,0.315
y_CO2_AD,0.21779355,0.32
y_CO2_AD,0.21575303,0.325
y_CO2_AD,0.21367872,0.33
y_CO2_AD,0.21161209,0.335
y_CO2_AD,0.2095082,0.34
y_CO2_AD,0.20741108,0.345
y_CO2_AD,0.20528176,0.35
y_CO2_AD,0.20316303,0.355
y_CO2_AD,0.20100677,0.36
y_CO2_AD,0.1988559,0.365
y_CO2_AD,0.19667476,0.37
y_CO2_AD,0.19450724,0.375
y_CO2_AD,0.19230388,0.38
y_CO2_AD,0.1901015,0.385
y_CO2_AD,0.1878703,0.39
y_CO2_AD,0.18565515,0.395
y_CO2_AD,0.18340975,0.4
y_CO2_AD,0.18115886,0.405
y_CO2_AD,0.17887883,0.41
y_CO2_AD,0.1766148,0.415
y_CO2_AD,0.17433037,0.42
y_CO2_AD,0.17203502,0.425
y_CO2_AD,0.1697089,0.43
y_CO2_AD,0.16739538,0.435
y_CO2_AD,0.16507247,0.44
y_CO2_AD,0.16273682,0.445
y_CO2_AD,0.1603662,0.45
y_CO2_AD,0.15800351,0.455
y_CO2_AD,0.1556414,0.46
y_CO2_AD,0.1532765,0.465
y_CO2_AD,0.15087119,0.47
y_CO2_AD,0.14846839,0.475
y_CO2_AD,0.14606941,0.48
y_CO2_AD,0.14365768,0.485
y_CO2_AD,0.1413215,0.49
y_CO2_AD,0.13852172,0.495
y_CO2_AD,0.13758846,0.5
y_CO2_BD,0.9894465,0
y_CO2_BD,0.9893923,0.005
y_CO2_BD,0.98922956,0.01
y_CO2_BD,0.9891317,0.015
y_CO2_BD,0.9889862,0.02
y_CO2_BD,0.9888668,0.025
y_CO2_BD,0.9887239,0.03
y_CO2_BD,0.98859185,0.035
y_CO2_BD,0.98844546,0.04
y_CO2_BD,0.988304,0.045
y_CO2_BD,0.9881515,0.05
y_CO2_BD,0.98800176,0.055
y_CO2_BD,0.9878418,0.06
y_CO2_BD,0.98768383,0.065
y_CO2_BD,0.9875156,0.07
y_CO2_BD,0.9873492,0.075
y_CO2_BD,0.9871722,0.08
y_CO2_BD,0.9869969,0.085
y_CO2_BD,0.9868104,0.09
y_CO2_BD,0.9866256,0.095
y_CO2_BD,0.9864289,0.1
y_CO2_BD,0.986234,0.105
y_CO2_BD,0.98602647,0.11
y_CO2_BD,0.9858207,0.115
y_CO2_BD,0.98560154,0.12
y_CO2_BD,0.9853841,0.125
y_CO2_BD,0.98515236,0.13
y_CO2_BD,0.9849224,0.135
y_CO2_BD,0.98467726,0.14
y_CO2_BD,0.9844338,0.145
