Time,H2,CO2
195,0.017288854,0.020050935
196,0.017272523,0.020054864
197,0.01725702,0.020058772
198,0.017242294,0.020062657
199,0.017228298,0.020066518
200,0.017214993,0.02007035
201,0.017202334,0.020074151
202,0.017190287,0.02007792
203,0.017178813,0.02008165
204,0.017167883,0.020085346
205,0.017157461,0.020089
206,0.017147524,0.020092614
207,0.01713804,0.020096185
208,0.017128984,0.020099713
209,0.017120332,0.020103194
210,0.017112063,0.02010663
211,0.017104154,0.02011002
212,0.017096588,0.020113364
213,0.017089345,0.020116657
214,0.017082406,0.020119904
215,0.017075757,0.0201231
216,0.01706938,0.020126246
217,0.017063264,0.020129343
218,0.017057393,0.02013239
219,0.017051756,0.02013539
220,0.01704634,0.020138336
221,0.017041134,0.020141235
222,0.017036127,0.02014408
223,0.017031308,0.020146878
224,0.017026672,0.020149626
225,0.017022206,0.020152325
226,0.017017903,0.020154973
227,0.017013757,0.020157574
228,0.01700976,0.020160126
229,0.017005902,0.020162627
230,0.01700218,0.020165082
231,0.016998587,0.020167489
232,0.016995117,0.020169849
233,0.016991764,0.020172162
234,0.016988525,0.020174429
235,0.016985394,0.02017665
236,0.016982365,0.020178825
237,0.016979437,0.020180956
238,0.016976602,0.020183042
239,0.016973859,0.020185083
240,0.016971204,0.020187082
241,0.016968632,0.020189038
242,0.016966142,0.02019095
243,0.01696373,0.020192822
244,0.016961392,0.020194652
245,0.016959127,0.020196442
246,0.016956931,0.02019819
247,0.016954802,0.0201999
247,0.016954802,0.0201999
247,0.016954802,0.0201999
247,0.016954802,0.0201999
248,0.014404785,0.013942282
249,0.01137882,0.010831012
250,0.008539041,0.009384442
251,0.006328763,0.008597421
252,0.004722065,0.008108038
253,0.003574473,0.007790716
254,0.002754341,0.007588197
255,0.002163271,0.007466528
256,0.00173196,0.007402116
257,0.001412625,0.007377592
258,0.001172537,0.007379985
259,9.89E-04,0.007399693
260,8.47E-04,0.007429732
261,7.35E-04,0.007465222
262,6.46E-04,0.007502842
263,5.74E-04,0.007540389
264,5.15E-04,0.007576498
265,4.66E-04,0.007610377
266,4.25E-04,0.007641616
267,3.90E-04,0.007670071
268,3.61E-04,0.00769576
269,3.36E-04,0.007718802
270,3.14E-04,0.007739371
271,2.94E-04,0.00775767
272,2.78E-04,0.007773907
273,2.62E-04,0.007788285
274,2.49E-04,0.007801003
275,2.37E-04,0.007812234
275,2.37E-04,0.007812234
275,2.37E-04,0.007812234
275,2.37E-04,0.007812234
276,2.10E-04,0.006853127
277,1.75E-04,0.006056485
278,1.36E-04,0.0053941
279,9.73E-05,0.004840308
280,6.48E-05,0.004372549
281,4.07E-05,0.003973831
282,2.45E-05,0.003632619
283,1.43E-05,0.003340655
284,8.24E-06,0.003091329
285,4.69E-06,0.002878939
286,2.66E-06,0.002698417
287,1.50E-06,0.002545247
288,8.49E-07,0.002415452
289,4.83E-07,0.002305586
290,2.75E-07,0.002212655
291,1.57E-07,0.002134086
292,9.01E-08,0.002067687
293,5.19E-08,0.002011589
294,2.98E-08,0.001964201
295,1.72E-08,0.001924174
296,1.01E-08,0.001890363
297,5.89E-09,0.001861797
298,3.48E-09,0.001837655
299,2.14E-09,0.001817243
300,1.39E-09,0.001799968
301,8.86E-10,0.001785331
302,5.28E-10,0.00177291
303,3.13E-10,0.001762349
304,2.09E-10,0.001753351
305,1.57E-10,0.001745661
306,1.08E-10,0.001739066
307,6.44E-11,0.001733385
308,3.27E-11,0.001728467
309,1.66E-11,0.001724186
310,1.38E-11,0.001720433
311,1.43E-11,0.00171712
312,1.09E-11,0.001714172
313,4.88E-12,0.001711525
314,3.25E-13,0.001709127
315,-1.88E-13,0.001706934
316,1.85E-12,0.00170491
317,2.89E-12,0.001703024
318,8.99E-13,0.001701251
319,-7.95E-13,0.00169957
320,-4.09E-14,0.001697964
321,-1.63E-13,0.00169642
322,6.00E-13,0.001694924
323,6.56E-13,0.001693469
324,-1.38E-13,0.001692046
325,-1.75E-13,0.001690649
326,9.90E-14,0.001689274
327,-6.31E-14,0.001687915
328,-1.11E-13,0.001686571
329,1.12E-13,0.001685239
330,3.70E-13,0.001683917
331,-9.78E-14,0.001682603
332,-5.00E-13,0.001681298
333,6.81E-14,0.001679999
334,5.58E-13,0.001678707
335,1.06E-13,0.001677422
336,-8.20E-13,0.001676143
337,-4.83E-13,0.001674871
338,6.79E-13,0.001673605
339,7.41E-13,0.001672346
340,-5.36E-13,0.001671095
341,-1.32E-12,0.001669851
342,8.62E-13,0.001668615
343,2.02E-12,0.001667387
344,2.85E-13,0.001666168
345,-5.64E-12,0.001664957
346,-1.19E-12,0.001663756
347,5.68E-12,0.001662565
348,-2.64E-12,0.001661383
